Id,Subject Focus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity,BRISQUE
0007de18844b0dbbb5e1f607da0606e0,0,1,1,1,0,0,1,0,0,0,0,0,63,22.12030029296875
0009c66b9439883ba2750fb825e1d7db,0,1,1,0,0,0,0,0,0,0,0,0,42,48.16229248046875
0013fd999caf9a3efe1352ca1b0d937e,0,1,1,1,0,0,0,0,1,1,0,0,28,12.22235107421875
0018df346ac9c1d8413cfcc888ca8246,0,1,1,1,0,0,0,0,0,0,0,0,15,19.42987060546875
001dc955e10590d3ca4673f034feeef2,0,0,0,1,0,0,1,0,0,0,0,0,72,18.35272216796875
001dd4f6fafb890610b1635f967ea081,0,0,1,0,0,0,0,0,0,0,0,1,74,49.64764404296875
0023b8a3abc93c712edd6120867deb53,0,1,1,1,0,0,0,0,1,1,0,0,22,12.48309326171875
0031d6a9ef7340f898c3e05f92c7bb04,0,1,1,0,0,0,1,1,0,0,1,0,35,8.47283935546875
0042bc5bada6d1cf8951f8f9f0d399fa,0,1,1,1,0,0,0,0,0,0,0,0,53,9.56512451171875
0049cb81313c94fa007286e9039af910,0,1,1,1,0,0,0,0,0,0,0,0,21,21.65594482421875
005017716086b8d5e118dd9fe26459b1,0,1,1,1,0,0,0,0,0,0,0,0,28,25.95281982421875
00524dbf2637a80cbc80f70d3ff59616,0,1,1,1,0,0,0,0,0,0,0,0,2,15.60369873046875
00630b1262efe301cb15a3b2022ba744,0,1,1,1,0,0,0,0,0,0,0,0,18,63.77899169921875
006483b96ca9c09b7afed3e3d3af539d,0,1,1,1,0,0,0,0,1,1,0,0,41,11.20623779296875
00655425c10d4c082dd7eeb97fa4fb17,0,1,0,0,0,1,0,0,0,0,0,0,13,14.39227294921875
0067aaaa500b530c76b9c91af34b4cb8,0,1,1,1,0,0,0,0,0,0,0,0,98,9.86395263671875
006cda7fec46a527f9f627f4722a2304,0,0,0,1,0,0,0,0,0,0,0,1,34,38.67205810546875
006fe962f5f7e2c5f527b2e27e28ed6d,0,1,1,0,0,0,0,1,1,1,0,0,69,2.23553466796875
0075ec6503412f21cf65ac5f43d80440,0,0,1,1,0,0,0,0,0,0,0,0,53,16.41326904296875
00768659c1c90409f81dcdecbd270513,0,1,1,0,0,0,0,0,0,0,0,0,100,57.69744873046875
007c6ea0ccfca08d4736e5f459ed274a,0,1,1,1,0,0,0,1,0,0,0,0,29,14.51971435546875
00838b02764e8d37edde39ed18693427,0,0,0,1,0,0,1,0,0,0,0,0,27,34.04656982421875
0084a12f432ef6e47e8b9ff04d8a32b4,0,1,1,1,0,0,0,0,0,0,0,0,28,21.62811279296875
0085bfb9a7ebfd776cb804d8b456bb05,0,1,1,1,0,0,0,0,0,0,0,0,50,15.26580810546875
009367718f506d87cd898ed0310a2392,0,1,1,1,0,0,0,0,0,0,0,0,36,27.56756591796875
0095f81bab3b68a4f70e99f0fcec7b06,0,0,1,1,0,0,0,0,1,0,0,1,15,21.30828857421875
00a1ae8867e0bb89f061679e1cf29e80,0,1,1,0,0,0,1,0,0,0,0,0,52,4.45672607421875
00a1e0c0f89ff89a8f32d42e9025f6b2,0,1,1,1,0,0,0,0,0,0,0,0,40,22.50408935546875
00a6d367daed96f77be6c91db493dfed,0,1,1,0,0,0,0,0,0,0,0,0,29,14.93133544921875
00b151a572c9aabedf8cfce0fa18be25,0,0,1,1,0,0,0,0,0,0,0,1,21,8.62615966796875
00c7b596627da7425b624d6b16c88a25,0,1,1,1,0,0,0,0,0,0,0,0,34,51.53436279296875
00d1cb2ec8b263ae076ff95cae513a88,0,1,1,1,0,0,0,0,0,0,0,0,31,24.56317138671875
00d560ebe5e1b2450eb530a2c96d08a3,0,1,1,1,0,0,1,0,0,0,0,0,67,8.76385498046875
00ddc7582953fb2c862e751e2b5d45f0,0,1,1,1,0,0,1,0,0,0,0,0,54,26.94500732421875
00df0a668441b10869f4372fd15c14f5,0,0,0,1,0,0,0,0,0,0,0,0,69,20.30535888671875
00dff6959ce41208a9e0528744162332,0,1,1,1,0,0,0,0,0,1,0,0,30,27.26385498046875
00e75416298ca240f7746181ee196600,0,1,1,1,0,0,1,0,0,0,0,0,29,-4.16192626953125
00e75d192cd4b26798933a817b04ccd9,0,1,1,0,0,0,0,0,0,0,0,0,68,32.27117919921875
00e83013f21b99cd7edb1d4e545f6579,0,0,1,1,0,0,0,0,0,0,0,0,24,13.52801513671875
00eb7cc3d158a6addbcbde1f267d7d15,0,1,1,1,0,0,0,0,0,0,0,0,47,35.41619873046875
00f6f38380bec413074150c18b2828d2,0,0,1,1,0,0,0,0,0,0,0,1,16,36.43572998046875
00fb5be5bf4e956ea4abb99f41c0b9ec,0,1,1,1,0,0,0,0,0,0,0,0,42,9.83123779296875
00fe27dcd1daf42c85365e837415878c,0,1,1,1,0,0,0,0,0,0,0,0,53,13.00994873046875
00ff89af70382e1dede4c7091c454e47,0,1,1,1,0,0,0,0,1,1,0,0,31,7.93670654296875
0117f444e6118619c4f6492cba703177,1,1,1,1,0,0,0,0,0,0,0,0,95,12.08367919921875
012518ff91b2484618693a277c0b07d5,0,1,1,1,0,0,0,0,0,0,0,0,34,0.54705810546875
0126fe11deba78f84fd05cd5f12c5a4b,0,1,1,1,0,0,0,0,0,0,0,0,37,-2.02081298828125
0130f5ec1200e85b4b282a8a14850dbe,0,1,1,1,0,0,0,0,0,0,0,0,46,21.29412841796875
01318357ff47c204f0d5c5a28e4eac77,1,1,1,1,0,0,0,0,0,0,0,0,47,29.21209716796875
01320990ba35993ad92b22f2d2ef039b,0,0,0,0,0,0,0,0,1,0,0,1,62,30.18621826171875
013f86ed0e765b189990d3d5ac28bd7d,0,0,0,1,0,0,1,0,0,0,0,0,100,21.66864013671875
0141dc34ad65d9e3d31a4b767c41438f,0,1,1,1,0,0,0,0,1,0,1,0,13,23.58856201171875
01430d6ae02e79774b651175edd40842,0,1,1,1,0,0,0,1,0,0,1,0,28,31.25213623046875
014af4e2e2154f171c8a0e2d30ebb420,0,0,0,1,0,0,0,0,0,0,0,0,21,19.01873779296875
014b66005f03707d0a0409a1c19ca60c,0,1,1,1,0,0,0,0,0,0,0,0,25,7.69061279296875
0150169aa0d554a63362e3e199fcd8f7,0,1,1,1,0,0,0,0,0,0,0,0,23,29.44403076171875
01523678fb845e0a798879914b54b1f5,0,1,1,0,0,0,1,1,0,0,1,0,25,13.85760498046875
015ce158a63d5d1e127ecc023648f581,0,1,1,1,0,0,0,0,1,0,0,0,28,6.42694091796875
